RGN387,28,Female,Bachelor's,Copywriter,2,40000
RGN388,32,Male,Bachelor's,Account Manager,5,75000
RGN389,45,Female,Master's,Director of Marketing,16,180000
RGN390,38,Male,PhD,Senior Scientist,11,120000
RGN391,25,Male,Bachelor's,Help Desk Analyst,0,35000
RGN392,51,Female,Bachelor's,Customer Service Manager,22,130000
RGN393,33,Male,Master's,Business Intelligence Analyst,7,85000
RGN394,40,Female,Bachelor's,Event Coordinator,12,60000
RGN395,47,Male,Master's,VP of Finance,19,200000
RGN396,29,Female,Bachelor's,Graphic Designer,3,50000
RGN397,36,Male,Bachelor's,Sales Manager,9,95000
RGN398,27,Female,Master's,UX Researcher,2,65000
RGN399,43,Male,PhD,Senior Engineer,17,140000
RGN400,30,Female,Bachelor's,Social Media Manager,4,55000
RGN401,35,Male,Master's,Product Manager,7,105000
RGN402,51,Female,Master's,Director of Operations,23,170000
RGN403,29,Male,Bachelor's,Marketing Analyst,3,50000
RGN404,40,Female,Bachelor's,HR Manager,12,80000
RGN405,47,Male,PhD,Senior Data Scientist,21,180000
RGN406,26,Male,Bachelor's,Junior Accountant,1,35000
RGN407,38,Female,Master's,Digital Marketing Manager,10,90000
RGN408,46,Male,Bachelor's,IT Manager,19,120000
RGN409,31,Female,Bachelor's,Customer Service Representative,5,45000
RGN410,34,Male,Master's,Business Development Manager,8,90000
RGN411,49,Female,Master's,Senior Financial Analyst,18,150000
RGN412,33,Male,Bachelor's,Web Developer,6,65000
RGN413,39,Female,Bachelor's,Recruiter,11,70000
RGN414,45,Male,PhD,Research Director,16,190000
RGN415,28,Male,Bachelor's,Technical Support Specialist,2,40000
RGN416,42,Female,Master's,Creative Director,14,120000
RGN417,37,Male,Bachelor's,Project Manager,10,95000
RGN418,50,Female,Bachelor's,Operations Manager,22,160000
RGN419,32,Male,Master's,Senior Software Engineer,6,100000
RGN420,48,Female,Master's,Human Resources Director,20,180000
RGN421,30,Female,Bachelor's,Content Marketing Manager,3,55000
RGN422,36,Male,Bachelor's,Technical Recruiter,8,70000
RGN423,41,Female,Master's,Data Analyst,13,80000
RGN424,25,Male,Bachelor's,Sales Representative,0,30000
RGN425,52,Male,PhD,Chief Technology Officer,24,250000
RGN426,29,Female,Bachelor's,Junior Designer,2,40000
RGN427,34,Female,Master's,Financial Advisor,10,95000
RGN428,27,Male,Bachelor's,Junior Account Manager,2,45000
RGN429,40,Female,Bachelor's,HR Generalist,15,80000
RGN430,46,Male,Master's,Senior Project Manager,21,135000
RGN431,31,Female,Bachelor's,Marketing Coordinator,6,55000
RGN432,36,Male,PhD,Principal Scientist,11,120000
RGN433,29,Female,Bachelor's,Sales Associate,3,40000
RGN434,43,Male,Bachelor's,Supply Chain Manager,18,105000
RGN435,52,Female,Master's,Senior Marketing Manager,25,170000
RGN436,33,Male,Bachelor's,Business Analyst,7,75000
RGN437,39,Female,Bachelor's,Training Specialist,12,65000
RGN438,47,Male,PhD,Research Scientist,22,160000
RGN439,26,Male,Bachelor's,Junior Software Developer,1,35000
RGN440,38,Female,Master's,Public Relations Manager,10,90000
RGN441,45,Male,Bachelor's,Operations Analyst,20,110000
RGN442,31,Female,Bachelor's,Event Coordinator,5,45000
RGN443,35,Male,Master's,Product Marketing Manager,8,95000
RGN444,49,Female,Master's,Senior HR Manager,19,150000
RGN445,33,Male,Bachelor's,Junior Web Developer,5,50000
RGN446,39,Female,Master's,Senior Project Coordinator,13,80000
RGN447,44,Male,PhD,Chief Data Officer,16,220000
RGN448,30,Female,Bachelor's,Digital Content Producer,3,50000
RGN449,36,Male,Bachelor's,IT Support Specialist,7,60000
RGN450,41,Female,Master's,Senior Marketing Analyst,14,100000
RGN451,28,Male,Bachelor's,Customer Success Manager,2,40000
RGN452,42,Female,Master's,Senior Graphic Designer,15,110000
RGN453,37,Male,Bachelor's,Software Project Manager,9,95000
RGN454,50,Female,Bachelor's,Supply Chain Analyst,22,130000
RGN455,32,Male,Master's,Senior Business Analyst,6,90000
RGN456,23,Female,Bachelor's,Junior Marketing Analyst,0.5,35000
RGN457,31,Male,Master's,Senior Financial Analyst,6,95000
RGN458,40,Female,Bachelor's,Office Manager,15,65000
RGN459,48,Male,PhD,Principal Engineer,20,170000
RGN460,29,Female,Bachelor's,Junior HR Generalist,3,45000
RGN461,35,Male,Master's,Senior Product Manager,10,120000
RGN462,42,Female,Bachelor's,Sales Manager,17,100000
RGN463,53,Male,Master's,Director of Marketing,25,180000
RGN464,33,Female,Bachelor's,Junior Operations Analyst,5,50000
RGN465,38,Male,Bachelor's,Customer Service Manager,11,80000
RGN466,44,Female,PhD,Senior Scientist,16,140000
RGN467,26,Male,Bachelor's,Junior Accountant,2,40000
RGN468,37,Female,Master's,Senior HR Generalist,9,95000
RGN469,45,Male,Bachelor's,Sales Operations Manager,18,110000
RGN470,32,Female,Bachelor's,Marketing Coordinator,4,50000
RGN471,34,Male,Master's,Senior Software Developer,8,105000
RGN472,50,Female,Master's,Director of Operations,21,160000
RGN473,29,Male,Bachelor's,Junior Web Designer,3,45000
RGN474,40,Female,Master's,Senior Training Specialist,12,100000
RGN475,47,Male,PhD,Senior Research Scientist,22,160000
RGN476,27,Male,Bachelor's,Junior Sales Representative,1,35000
RGN477,39,Female,Bachelor's,Administrative Assistant,10,55000
RGN478,46,Male,Master's,Senior Project Manager,19,140000
RGN479,30,Female,Bachelor's,Junior Marketing Manager,4,50000
RGN480,36,Male,Bachelor's,Junior Data Analyst,7,60000
RGN481,43,Female,Master's,Senior Product Marketing Manager,14,120000
RGN482,28,Male,Bachelor's,Junior Business Analyst,2,40000
RGN483,41,Female,Master's,Senior Marketing Manager,13,110000
RGN484,33,Male,Bachelor's,Junior Software Developer,5,50000
RGN485,47,Male,Bachelor's,Senior Sales Manager,20,135000
RGN486,25,Female,Master's,Junior Marketing Specialist,1.5,40000
RGN487,34,Male,Bachelor's,Senior Business Analyst,8,90000
RGN488,42,Female,PhD,Senior Data Scientist,16,150000
RGN489,31,Male,Bachelor's,Junior Project Manager,4,60000
RGN490,38,Female,Bachelor's,Senior Accountant,10,80000
RGN491,45,Male,Master's,Director of Sales,19,175000
RGN492,29,Female,Bachelor's,Junior Recruiter,3,45000
RGN493,36,Male,Master's,Senior Business Development Manager,11,120000
RGN494,43,Female,PhD,Senior Product Designer,18,140000
RGN495,26,Male,Bachelor's,Junior Customer Support Specialist,2,35000
RGN496,37,Female,Master's,Senior Marketing Analyst,9,95000
RGN497,44,Male,Bachelor's,Senior IT Support Specialist,14,110000
RGN498,32,Female,Bachelor's,Junior Financial Analyst,5,50000
RGN499,33,Male,Master's,Senior Operations Manager,7,115000
RGN500,51,Female,PhD,Director of Human Resources,23,185000
RGN501,28,Male,Bachelor's,Junior Software Engineer,2,40000
RGN502,39,Female,Bachelor's,Senior Sales Representative,12,90000
RGN503,48,Male,Master's,Director of Product Management,21,175000
RGN504,30,Female,Bachelor's,Junior Copywriter,3,45000
RGN505,35,Male,Bachelor's,Senior Marketing Coordinator,7,80000
RGN506,41,Female,Master's,Senior Human Resources Manager,13,120000
RGN507,27,Male,Bachelor's,Junior Business Development Associate,1.5,35000
RGN508,40,Female,Bachelor's,Senior Account Manager,14,110000
RGN509,46,Male,PhD,Senior Researcher,18,150000
RGN510,31,Female,Bachelor's,Junior HR Coordinator,4,50000
RGN511,34,Male,Master's,Senior Software Engineer,9,105000
RGN512,50,Female,Master's,Director of Finance,20,180000
RGN513,29,Male,Bachelor's,Junior Marketing Coordinator,2,40000
RGN514,43,Male,Bachelor's,Senior Project Manager,16,140000
RGN515,26,Female,Master's,Junior Data Scientist,1.5,45000
RGN516,35,Male,Bachelor's,Senior Operations Analyst,7,85000
RGN517,42,Female,PhD,Senior Marketing Manager,18,140000
RGN518,31,Male,Bachelor's,Junior Accountant,4,50000
RGN519,38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000
RGN520,46,Male,Master's,Director of Operations,20,170000
RGN521,29,Female,Bachelor's,Junior Sales Representative,2,40000
RGN522,37,Male,Master's,Senior Business Analyst,9,105000
RGN523,44,Female,PhD,Senior UX Designer,15,145000
RGN524,27,Male,Bachelor's,Junior Product Manager,2,40000
RGN525,36,Female,Bachelor's,Senior Marketing Specialist,8,85000
RGN526,43,Male,Bachelor's,Senior IT Project Manager,14,130000
RGN527,33,Female,Master's,Senior Financial Analyst,6,95000
RGN528,34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000
RGN529,50,Female,PhD,Director of Sales and Marketing,22,180000
RGN530,28,Male,Bachelor's,Junior Operations Analyst,1.5,35000
RGN531,39,Female,Bachelor's,Senior Account Executive,12,95000
RGN532,47,Male,Master's,Director of Business Development,19,170000
RGN533,30,Female,Bachelor's,Junior Social Media Manager,3,45000
RGN534,34,Male,Bachelor's,Senior Product Manager,7,95000
RGN535,40,Female,Master's,Senior Human Resources Specialist,13,120000
RGN536,28,Male,Bachelor's,Junior Business Analyst,2,40000
RGN537,41,Female,Bachelor's,Senior Marketing Coordinator,11,90000
RGN538,45,Male,PhD,Senior Data Analyst,17,155000
RGN539,32,Female,Bachelor's,Junior Account Manager,5,55000
RGN540,35,Male,Master's,Senior Software Developer,9,110000
